id,company,productName,salesPrice,tags
1,Todd Horton DPM,Artalgia,439.95,health
2,Cardinal Health,Simvastatin,971.76,pharmacy
3,Apotex Corp,Meloxicam,849.21,pharmacy
4,Accord Healthcare Inc.,AMITRIPTYLINE HYDROCHLORIDE,480.08,pharmacy
5,DENTOVATIONS INC,POWER WHITE,206.09,health
6,"Mutual Pharmaceutical Company, Inc.",TOLMETIN SODIUM,811.05,health
7,"Hospira Worldwide, Inc.",MULTI VITAMIN INFUSION,681.19,pharmacy
8,G.D. Searle LLC Division of Pfizer Inc,Flagyl ER,111.82,health
9,Cardinal Health,Namenda,506.41,health
10,Major Pharmaceuticals,Nabumetone,9.55,medicine
11,"Antigen Laboratories, Inc.",Cattail,842.58,health
12,REMEDYREPACK INC.,Lorazepam,156.24,pharmacy
13,Chain Drug Marketing Association Inc.,Loperamide Hydrochloride,283.32,medicine
14,"ALK-Abello, Inc.",MORUS RUBRA POLLEN,98.34,pharmacy
15,PureLife Dental,PureLife APF,822.72,medicine
16,"Deb USA, Inc.",SBS 40,141.65,medicine
17,"Concept Laboratories, Inc.",Painazin CP,689.5,pharmacy
18,"Longood Medicine (Beijing) Co., Ltd.",Easy to break-off cleaning and disinfecting swabstick YBC-I,301.2,medicine
19,Major Pharmaceuticals,Naproxen,49.46,medicine
20,"Prime Packaging, Inc.",Panama Jack,821.45,health
21,ESTEE LAUDER INC,Perfectionist Youth-Infusing Makeup Broad Spectrum SPF 25,220.51,pharmacy
22,"ALK-Abello, Inc.",AMARANTHUS TUBERCULATUS POLLEN,701.39,medicine
23,"Boehringer Ingelheim Pharmaceuticals, Inc.",Mirapex,643.25,health
24,Cadila Healthcare Limited,meloxicam,450.03,pharmacy
25,"Taro Pharmaceuticals U.S.A., Inc.",Enalapril Maleate,393.1,medicine
26,Midlothian Laboratories,Oxycodone Hydrochloride,458.62,pharmacy
27,Sandoz Inc,Methylprednisolone Acetate,944.94,medicine
28,HOMEOLAB USA INC.,ALLOXANUM,704.56,pharmacy
29,"United Research Laboratories, Inc.",Nisoldipine,95.79,pharmacy
30,STAT Rx USA LLC,LYRICA,8.04,health
31,SUPERVALU INC.,Extra Strength Pain Reliever,166.6,health
32,"TONYMOLY CO., LTD.",GALACTOMYCES MAN BOOSTER,400.83,medicine
33,"American Regent, Inc.",Sodium Phosphates,518.14,health
34,"ALK-Abello, Inc.",BETULA LENTA POLLEN,394.64,health
35,"Golden State Medical Supply, Inc.",Cortisone Acetate,619.9,medicine
36,American Health Packaging,Hydralazine Hydrochloride,222.97,medicine
37,"Preferred Pharmaceuticals, Inc.",Diazepam,829.63,medicine
38,SHISEIDO AMERICA INC.,SHISEIDO SUN PROTECTION COMPACT FOUNDATION (REFILL),54.32,pharmacy
39,KRAMER NOVIS,Tussi Pres B,528.0,medicine
40,"Physicians Total Care, Inc.",Cetirizine HCl and Pseudoephedrine HCl,239.87,health
41,"Nelco Laboratories, Inc.",English Walnut,189.59,medicine
42,"Pharbest Pharmaceuticals, Inc.",Adult Low Dose Aspirin,454.92,medicine
43,"Upsher-Smith Laboratories, Inc.",Jantoven,845.27,health
44,"Peaceful Mountain, Inc.",Sciatic Rescue,957.4,medicine
45,Teva Pharmaceuticals USA Inc,Azithromycin,268.2,medicine
46,DSHealthcare,Moist SURE,288.88,medicine
47,Uriel Pharmacy Inc.,Renes Carbo,193.13,medicine
48,CLINIQUE LABORATORIES INC.,SUPERDEFENSE DAILY DEFENSE MOISTURIZER BROAD SPECTRUM SPF20 (COMBINATION OILY - OILY),634.64,health
49,The Medicines Company,Ondansetron,657.4,medicine
50,The Clorox Company,Clorox CareConcepts Rash Relief,630.92,pharmacy
51,Conopco Inc. d/b/a Unilever,Degree,835.81,pharmacy
52,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Atenolol,462.44,medicine
53,"Deseret Biologicals, Inc.",Lymph Spleen Combo,968.8,pharmacy
54,Aidarex Pharmaceuticals LLC,Atovaquone and Proguanil Hydrochloride,257.75,medicine
55,Boy Butter Lubes,Boy Butter,763.78,medicine
56,Procter & Gamble Manufacturing Co.,Head and Shoulders 2in1,970.36,pharmacy
57,Tri-Coastal Design Company Inc.,moisturizing anti-bacterial hand soap,171.42,health
58,H.J. Harkins Company Inc.,Sertraline Hydrochloride,478.75,medicine
59,"BioActive Nutritional, Inc.",Tobaccotox,356.08,health
60,Topco Associates LLC,topcare hemorrhoidal,922.98,health
61,"Kadmon Pharmaceuticals, LLC",RIBASPHERE,762.57,pharmacy
62,"H.J. Harkins Company, Inc.",Risperidone,760.66,pharmacy
63,Premier Value,Allergy Eye Drops,171.04,medicine
64,"Midway Importing, Inc",Sedalmex,624.72,medicine
65,"San Jamar, Inc",ASSURE Antiseptic Hand Wipes,167.42,pharmacy
66,"PD-Rx Pharmaceuticals, Inc.",Metaxalone,266.84,medicine
67,philosophy,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,908.34,health
68,Dr. Reddy's Laboratories Limited,Levetiracetam,849.91,medicine
69,"Nelco Laboratories, Inc.",Date,295.63,medicine
70,Neutraderm Inc,HQRA-OTC,892.53,health
71,Jubilant HollisterStier LLC,"Pollens - Trees, Gum, Sweet Liquidambar styraciflua",736.39,health
72,"Bath & Body Works, Inc.",Anti-Bacterial Hand,441.05,health
73,Boots Retail USA Inc,No7 Stay Perfect Foundation Sunscreen SPF 15 Truffle,450.21,medicine
74,BluePoint Laboratories,Metronidazole,88.15,medicine
75,Parfums Christian Dior,HYDRA LIFE PRO-YOUTH SKIN TINT 3,381.27,pharmacy
76,"H.J. Harkins Company, Inc.",Hydromorphone Hydrochloride,32.44,health
77,"Janssen Pharmaceuticals, Inc.",Ortho Micronor,415.51,health
78,Guerbet LLC,DOTAREM,951.7,pharmacy
79,Aidarex Pharmaceuticals LLC,ProCoMycin,430.63,health
80,7-Eleven,7 Select Pink Bismuth,994.58,health
81,North Safety Products LLC,Antidiarrheal Relief,606.51,health
82,Velocity Pharma,DayTime Cold and Flu,131.26,health
83,Amercare Products Inc,Amerfresh,469.53,pharmacy
84,"SHISEIDO CO., LTD.",SHISEIDO SHEER MATIFYING COMPACT (REFILL),524.77,pharmacy
85,Teva Pharmaceuticals USA Inc,Sotalol Hydrochloride,555.87,pharmacy
86,Cardinal Health,Terazosin Hydrochloride,775.03,health
87,"Rising Pharmaceuticals, Inc.","Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate",735.24,medicine
88,"Allermed Laboratories, Inc.",Pecan Pollen,610.19,health
89,"Par Pharmaceutical, Inc.",Propafenone Hydrochloride,374.36,health
90,Guerlain,Fresh Sugar Kisses Sugar Rose Tinted Lip Treatment SPF 15 and Sugar PlumTinted Lip Treatment SPF 15,792.26,medicine
91,Amerisource Bergen,good neighbor pharmacy cold,513.14,health
92,Par Pharmaceutical Inc.,Morphine Sulfate,802.75,health
93,"Blue Cross Laboratories, Inc.",SILK ANTIBACTERIAL FOAMING HAND KITCHEN CITRUS,480.07,health
94,Care One (American Sales Company),Senna S,309.26,health
95,"Nelco Laboratories, Inc.",Soft Cheat Brome,102.71,medicine
96,Eli Lilly and Company,Symbyax,397.06,health
97,"Weeks & Leo Co., Inc.",Lice Killing,309.93,pharmacy
98,"Par Pharmaceutical, Inc",Fluoxetine Hydrochloride,196.14,health
99,AnazaoHealth Corporation,Thyrotropin Releasing Hormone,851.01,medicine
100,Wakefern Food Corporation,ShopRite Complete,315.58,pharmacy
101,Jubilant HollisterStier LLC,"Animal Allergens, AP Horse Hair and Dander",261.59,pharmacy
102,Clinical Solutions Wholesale,Warfarin Sodium,420.58,pharmacy
103,American Health Packaging,Cyclobenzaprine Hydrochloride,83.41,pharmacy
104,West-Ward Pharmaceutical Corp,SUMATRIPTAN,829.89,pharmacy
105,"Chattem, Inc.",BullFrog Ultimate Sheer Protection Face,933.17,medicine
106,REMEDYREPACK INC.,verapamil hydrochloride,747.82,pharmacy
107,ENERGIZER PERSONAL CARE LLC,Banana Boat Protect and Hydrate,997.72,pharmacy
108,Kay Chemical Company,Mystic Foaming Hand Sanitizer,198.5,medicine
109,"SJ Creations, Inc.",Mandarin Orange Antibacterial Foaming Hand Wash,292.44,pharmacy
110,WALGREEN CO.,Sinus Congestion and Pain Daytime,60.59,pharmacy
111,PuraVation Pharmaceuticals Inc,Multi-Symptom Nighttime Sinus Relief,725.58,pharmacy
112,CSL Behring AG,Carimune,540.03,health
113,Merck Sharp & Dohme Corp.,NITRO-DUR,20.38,health
114,"PD-Rx Pharmaceuticals, Inc.",Prazosin Hydrochloride,919.39,health
115,Darby Dental Supply LLC,Superdent,740.55,health
116,Bryant Ranch Prepack,Fentanyl,597.93,medicine
117,"Shanghai Kejing Cleaning Products Co., Ltd.",SunScreen SPF30,631.01,pharmacy
118,A-S Medication Solutions LLC,Depo-Testosterone,41.37,pharmacy
119,Novartis Pharmaceuticals Corporation,FANAPT,722.28,medicine
120,Bare Escentuals Beauty Inc.,BareMinerals,633.43,health
121,REMEDYREPACK INC.,Warfarin Sodium,921.0,pharmacy
122,L. Perrigo Company,good sense nicotine,537.87,health
123,Perrigo New York Inc,azelastine hcl nasal,917.82,pharmacy
124,Heritage Pharmaceuticals Inc.,Metronidazole,142.61,pharmacy
125,"PD-Rx Pharmaceuticals, Inc.",Doxycycline,265.68,health
126,Wakefern Food Corporation,citroma,254.52,pharmacy
127,"Bath & Body Works, Inc.",Anti-Bacterial Hand Foam,491.35,medicine
128,REMEDYREPACK INC.,Neomycin and Polymyxin B Sulfates and Hydrocortisone,413.96,medicine
129,"Shanghai Aquagel Bio-polymer Co., Ltd",Coralite Extra Strength Menthol Pain Relief Sleeve - WRIST,422.08,health
130,Baxter Healthcare Corporation,DEXTROSE,508.24,health
131,Carilion Materials Management,ATORVASTATIN CALCIUM,793.46,pharmacy
132,Zydus Pharmaceuticals (USA) Inc.,meloxicam,587.78,pharmacy
133,Homeocare Laboratories,Sciatica Relief,95.58,medicine
134,"Pro-Link, Inc.",Proformance Antibacterial,251.4,health
135,derma e,Evenly Radiant Brightening Day Creme SPF 15,122.11,medicine
136,Par Pharmaceutical Inc.,Dexamethasone,84.06,health
137,REMEDYREPACK INC.,Clonidine Hydrochloride,509.01,health
138,"Teva Respiratory, LLC",QNASL,812.96,health
139,"Nelco Laboratories, Inc.",Casein,387.57,pharmacy
